Datos de correlaciones nominales
native-country y  class Grado de libertad 14 Chi-cuadrada NaN
occupation y  class Grado de libertad 10 Chi-cuadrada 32.57699203491211

capital-gain y  class Grado de libertad 14 Chi-cuadrada 28.4162654876709

workclass y  relationship Grado de libertad 25 Chi-cuadrada 26.115571975708008

occupation y  sex Grado de libertad 10 Chi-cuadrada 24.103967666625977

workclass y  marital-status Grado de libertad 25 Chi-cuadrada 22.40768051147461

sex y  capital-loss Grado de libertad 16 Chi-cuadrada 17.750885009765625

sex y  capital-gain Grado de libertad 14 Chi-cuadrada 17.440610885620117

sex y  native-country Grado de libertad 14 Chi-cuadrada 17.17291831970215

education y  sex Grado de libertad 14 Chi-cuadrada 15.471427917480469

education-num y  sex Grado de libertad 15 Chi-cuadrada 13.531635284423828

workclass y  class Grado de libertad 5 Chi-cuadrada 13.387896537780762

race y  capital-gain Grado de libertad 56 Chi-cuadrada 13.160447120666504

workclass y  race Grado de libertad 20 Chi-cuadrada 10.575669288635254

race y  sex Grado de libertad 4 Chi-cuadrada 6.916982173919678

sex y  class Grado de libertad 1 Chi-cuadrada 6.721902847290039

race y  class Grado de libertad 4 Chi-cuadrada 6.1219353675842285

workclass y  sex Grado de libertad 5 Chi-cuadrada 5.728930950164795

capital-gain y  native-country Grado de libertad 196 Chi-cuadrada 2.1596267223358154

Datos de correlaciones numericos
education-num y  hours-per-week Coeficiente de correlacion: 0.2399718314409256

age y  capital-loss Coeficiente de correlacion: 0.17182347178459167

education-num y  capital-loss Coeficiente de correlacion: 0.0784984603524208

age y  capital-gain Coeficiente de correlacion: -0.06017212197184563

capital-gain y  capital-loss Coeficiente de correlacion: -0.056334201246500015

age y  hours-per-week Coeficiente de correlacion: -0.04331599548459053

education-num y  capital-gain Coeficiente de correlacion: -0.03405279666185379

capital-loss y  hours-per-week Coeficiente de correlacion: 0.021284673362970352

capital-gain y  hours-per-week Coeficiente de correlacion: 0.019070053473114967

age y  education-num Coeficiente de correlacion: 0.01705550216138363

